"municipio","cod_comunidad","comunidad","cod_calle","nombre_calle"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001009-2",LA RINCONADA,"15-10-1-151001009-2-1",SECTOR LA MATICA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001009-1",GUIRIGUIRE,"15-10-1-151001009-1-4",LAS 3 TEJAS LA ESTANCIA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001009-1",GUIRIGUIRE,"15-10-1-151001009-1-3",CALLE GUIRIGUIRE AFUERA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001009-1",GUIRIGUIRE,"15-10-1-151001009-1-2",CALLE LOS QUIJADAS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001009-1",GUIRIGUIRE,"15-10-1-151001009-1-1",GUIRIGUIRE ADENTRO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-3",LA VEGA DEL CARDÓN,"15-10-1-151001008-3-4","CALLE ESPERANZA, BICENTENARIO"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-3",LA VEGA DEL CARDÓN,"15-10-1-151001008-3-2",CALLE LOS ORTEGAS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-3",LA VEGA DEL CARDÓN,"15-10-1-151001008-3-1",CALLE PRINCIPAL ABAJO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-2",SABANA DEL CARDON,"15-10-1-151001008-2-7",CALLE ROSA MARGARITA-TEJAS ROJAS- EL PRINCIPE
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-2",SABANA DEL CARDON,"15-10-1-151001008-2-6",CALLE ANDRES MOYA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-2",SABANA DEL CARDON,"15-10-1-151001008-2-5",CALLE PRINCIPAL VIA 31 DE JULIO - CALLE FRITIN
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-2",SABANA DEL CARDON,"15-10-1-151001008-2-3",CALLE PRINCIPAL VIA EL CARDÓN
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-2",SABANA DEL CARDON,"15-10-1-151001008-2-2",AV.31 DE JULIO Y CALLE ERNESTO OLIVERO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-1",EL CARDON,"15-10-1-151001008-1-9",SECTORES MARCELINA ROSAS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-1",EL CARDON,"15-10-1-151001008-1-8",SANTA INES
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-1",EL CARDON,"15-10-1-151001008-1-7",EL MACO- MANANTIAL
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-1",EL CARDON,"15-10-1-151001008-1-5",CALLE PRINCIPAL EL CARDON
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-1",EL CARDON,"15-10-1-151001008-1-4",CALLE EL PESCADOR
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-1",EL CARDON,"15-10-1-151001008-1-3",CALLE EL MELONAL
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-1",EL CARDON,"15-10-1-151001008-1-2",CALLE EL DISPENSARIO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-1",EL CARDON,"15-10-1-151001008-1-10",SECTOR MUÑOZ
MP.ANTOLIN DEL CAMPO,"15-10-1-151001008-1",EL CARDON,"15-10-1-151001008-1-1",CALLE ALTO ROSA EL CARDON
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-2",EL LIMON,"15-10-1-151001007-2-6","PRINCIPAL EL LIMON ABAJO, CALLEJON EL LIMON, ELISEO HIGUEREY, LA ESPERANZA, GUAYACAN."
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-2",EL LIMON,"15-10-1-151001007-2-4","PRINCIPAL EL LIMON ARRIBA, 47, RIO DE VIENTO, SUCRE, QUEBRAHACHO, EL PACHACO."
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-2",EL LIMON,"15-10-1-151001007-2-2","CALLE PRINCIPAL EL LIMON, CENTRO, LA PRADERA"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-2",EL LIMON,"15-10-1-151001007-2-1",AV 31 DE JULIO - EL PAUJI
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-1",EL SALADO,"15-10-1-151001007-1-9",GUAYAMURI - AURORA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-1",EL SALADO,"15-10-1-151001007-1-8",CALLE LOS PAPELONES PRINCIPAL C- LA MARA-LOS FERMINES
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-1",EL SALADO,"15-10-1-151001007-1-6",CALLE PRINCIPAL 1B- LA VEGA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-1",EL SALADO,"15-10-1-151001007-1-5",CALLE SANTA CRUZ- PPAL. 1B- LIMON
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-1",EL SALADO,"15-10-1-151001007-1-4",CALLE LA CEIBA - AV 31 DE JULIO B
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-1",EL SALADO,"15-10-1-151001007-1-2","PRINCIPAL 1A, PAJUI - LOS BAGRES"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-1",EL SALADO,"15-10-1-151001007-1-13",AVENIDA 31 DE JULIO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-1",EL SALADO,"15-10-1-151001007-1-11",CALLE TAMARINDO - SAN PEDRO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001007-1",EL SALADO,"15-10-1-151001007-1-1",CALLE ORIENTE
MP.ANTOLIN DEL CAMPO,"15-10-1-151001006-1",GUARAME,"15-10-1-151001006-1-7",CALLE FEDERICO BLOHM
MP.ANTOLIN DEL CAMPO,"15-10-1-151001006-1",GUARAME,"15-10-1-151001006-1-6",CALLE EL ROBLE- FRUCTA MARGARITA- VALENTIN MALAVER- LOS FARIAS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001006-1",GUARAME,"15-10-1-151001006-1-5",AVE. PRINCIPAL II
MP.ANTOLIN DEL CAMPO,"15-10-1-151001006-1",GUARAME,"15-10-1-151001006-1-4",AVE. PRINCIPAL
MP.ANTOLIN DEL CAMPO,"15-10-1-151001006-1",GUARAME,"15-10-1-151001006-1-3",CALLE PRINCIPAL - MATASIETE - EL TANQUE - GUAYAMURI SECTOR EL CASCAJO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001006-1",GUARAME,"15-10-1-151001006-1-2","CALLE PRINCIPAL, LOS NISPEROS, MARASOL--ISABEL TERESA."
MP.ANTOLIN DEL CAMPO,"15-10-1-151001006-1",GUARAME,"15-10-1-151001006-1-1",AMBROSIO DIAZ
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-2",FLANDES - POLVOROSA,"15-10-1-151001005-2-5","LA GLORIA, COTOPERI, LOS MANGOS Y LOS QUIJADAS"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-2",FLANDES - POLVOROSA,"15-10-1-151001005-2-4",CALLE LOS PRIMOS Y GUAYAMURI
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-2",FLANDES - POLVOROSA,"15-10-1-151001005-2-3",LA POLVOROSA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-2",FLANDES - POLVOROSA,"15-10-1-151001005-2-2",BRISAS DE GUAYAMURI
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-2",FLANDES - POLVOROSA,"15-10-1-151001005-2-1",CALLE PRINCIPAL
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-9",AV. 31 DE JULIO PARTE B
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-8",AV. 31 DE JULIO PARTE A
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-7",CALLE PRINCIPAL PARTE D Y SUBIDA DE GUARAME
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-6",CALLE PRINCIPAL PARTE B Y C
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-5",CALLE PRINCIPAL PARTE A
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-4",SECTOR EL CERRO EL CHORRO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-3",SECTOR LA RINCONADA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-16",SECTOR EL RINCÓN-
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-15",SECTOR PANSACOLA-
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-12",AV. 31 DE JULIO PARTE C
MP.ANTOLIN DEL CAMPO,"15-10-1-151001005-1",LA FUENTE,"15-10-1-151001005-1-11",AV. 31 DE JULIO PARTE D
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-6",MANZANILLO 6,"15-10-1-151001004-6-4",CALLE LOS CARABALLO C/CAMINO REAL
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-6",MANZANILLO 6,"15-10-1-151001004-6-3",VIA HOTEL PORTO FINO-BRISAS DE VARADERO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-6",MANZANILLO 6,"15-10-1-151001004-6-2",CALLE PRINCIPAL Y INTERNA BRISAS DE VARADERO 2
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-6",MANZANILLO 6,"15-10-1-151001004-6-1",CALLE PPAL E INTERNA BRISAS DE VARADERO 1
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-5",MANZANILLO 5,"15-10-1-151001004-5-6",CALLE LA MARA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-5",MANZANILLO 5,"15-10-1-151001004-5-5",LAS FLORES
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-5",MANZANILLO 5,"15-10-1-151001004-5-4",LAS CASITAS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-5",MANZANILLO 5,"15-10-1-151001004-5-3",CALLE VELAZQUEZ
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-5",MANZANILLO 5,"15-10-1-151001004-5-2",CALLE NUEVA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-5",MANZANILLO 5,"15-10-1-151001004-5-1",CALLE SAN ANTONIO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-4",MANZANILLO 4,"15-10-1-151001004-4-5",VELASQUEZ Y EL GRUPO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-4",MANZANILLO 4,"15-10-1-151001004-4-4",CALLE PARALELA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-4",MANZANILLO 4,"15-10-1-151001004-4-3",LAS CASITAS PARALELA 2
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-4",MANZANILLO 4,"15-10-1-151001004-4-2",CALLE NUEVA 2
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-4",MANZANILLO 4,"15-10-1-151001004-4-1",CALLE NUEVA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-3",MANZANILLO 3,"15-10-1-151001004-3-6",AV. 31 JULIO SECTOR EL TURPIAL
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-3",MANZANILLO 3,"15-10-1-151001004-3-5",SECTOR LA CRUZ - CEDEÑO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-3",MANZANILLO 3,"15-10-1-151001004-3-4",SECTOR LA CRUZ - CALLE VIRGEN DEL VALLE
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-3",MANZANILLO 3,"15-10-1-151001004-3-3",CALLE URB. TARICO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-3",MANZANILLO 3,"15-10-1-151001004-3-2","31 DE JULIO CENTRO"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-3",MANZANILLO 3,"15-10-1-151001004-3-1",A.V 31 DE JULIO - MANZANILLO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-2",MANZANILLO 2,"15-10-1-151001004-2-8",LA PLAYA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-2",MANZANILLO 2,"15-10-1-151001004-2-7",VELASQUEZ CUADRA 3
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-2",MANZANILLO 2,"15-10-1-151001004-2-6",VELASQUEZ CUADRA 2
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-2",MANZANILLO 2,"15-10-1-151001004-2-5",VELASQUEZ CUADRA 1
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-2",MANZANILLO 2,"15-10-1-151001004-2-4",LA LINEA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-2",MANZANILLO 2,"15-10-1-151001004-2-3",CEMENTERIO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-2",MANZANILLO 2,"15-10-1-151001004-2-2",NUEVA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-2",MANZANILLO 2,"15-10-1-151001004-2-1",LA CAPILLA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-1",EL PACHACO,"15-10-1-151001004-1-6",CALLE SAN RAFAEL SECTOR 1 Y SECTOR 5 PUERTO REAL
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-1",EL PACHACO,"15-10-1-151001004-1-5",PACHACO MANZANILLO SECTOR 3
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-1",EL PACHACO,"15-10-1-151001004-1-3",SAN RAFAEL SECTOR 4
MP.ANTOLIN DEL CAMPO,"15-10-1-151001004-1",EL PACHACO,"15-10-1-151001004-1-1",CALLE SAN RAFAEL SECTOR 2
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-2",EL TIRANO,"15-10-1-151001003-2-5",SAN RAFAEL
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-2",EL TIRANO,"15-10-1-151001003-2-4",LAS PALMAS- LA MARINA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-2",EL TIRANO,"15-10-1-151001003-2-3","CALLE BOLIVAR, LOS PINOS, LOS BRITOS"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-2",EL TIRANO,"15-10-1-151001003-2-15","ALI PRIMERA, CEMENTERIO Y 31 DE JULIO"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-2",EL TIRANO,"15-10-1-151001003-2-14",LAS PALMAS Y LAS FLORES
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-2",EL TIRANO,"15-10-1-151001003-2-12",CALLE PRINCIPAL
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-1","PUEBLO NUEVO, EL TIRANO","15-10-1-151001003-1-9","FUTURO, ESTRELLA, ONA"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-1","PUEBLO NUEVO, EL TIRANO","15-10-1-151001003-1-6",CAMINO REAL/ALEGRIA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-1","PUEBLO NUEVO, EL TIRANO","15-10-1-151001003-1-2",AV.31 DE JULIO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-1","PUEBLO NUEVO, EL TIRANO","15-10-1-151001003-1-16","FIGUEROA, DON RAMON Y COTOTO"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-1","PUEBLO NUEVO, EL TIRANO","15-10-1-151001003-1-15",CALLE LIBERTAD
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-1","PUEBLO NUEVO, EL TIRANO","15-10-1-151001003-1-14","MIRAMAR, UNION Y PROGRESO"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001003-1","PUEBLO NUEVO, EL TIRANO","15-10-1-151001003-1-12","12 DE OCTUBRE Y COSTANERA"
MP.ANTOLIN DEL CAMPO,"15-10-1-151001002-1",LOMA DE GUERRA,"15-10-1-151001002-1-6",CALLE MARIÑO- LOS NISPEROS- CORREA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001002-1",LOMA DE GUERRA,"15-10-1-151001002-1-5",JUAN BAUTISTA ARISMENDI 1
MP.ANTOLIN DEL CAMPO,"15-10-1-151001002-1",LOMA DE GUERRA,"15-10-1-151001002-1-4",CALLE LOS VARGAS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001002-1",LOMA DE GUERRA,"15-10-1-151001002-1-3",CALLE MANEIRO- EL MOLINO
MP.ANTOLIN DEL CAMPO,"15-10-1-151001002-1",LOMA DE GUERRA,"15-10-1-151001002-1-2",PEDRO LEONCIO HERNANDEZ- LA ESPERANZA- LOS OLIVOS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001002-1",LOMA DE GUERRA,"15-10-1-151001002-1-1",CALLE LA COLINA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-2",PARAGUACHI,"15-10-1-151001001-2-9","CALLE ACARUELA, CALLE ARCOIRIS Y PRINCIPAL LA VEGA."
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-2",PARAGUACHI,"15-10-1-151001001-2-8",CALLE LOS ROBLES Y PPAL LOS CAOBOS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-2",PARAGUACHI,"15-10-1-151001001-2-5",CALLEJON SAN JOSE
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-2",PARAGUACHI,"15-10-1-151001001-2-4",TRANSVERSAL-LOS GUAYACANES
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-2",PARAGUACHI,"15-10-1-151001001-2-3",PRINCIPAL-LOS CAOBOS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-2",PARAGUACHI,"15-10-1-151001001-2-2",LA PLAZA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-2",PARAGUACHI,"15-10-1-151001001-2-1",PRIMERA TRANSVERSAL-LA VEGA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-1",BOQUERON,"15-10-1-151001001-1-7",CALLE MAMÁ PETRA-LA CRUZ-CALLE ZULIA-VIA GUIRIGUIRI
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-1",BOQUERON,"15-10-1-151001001-1-6",CALLE PRINCIPAL VIA BOQUERON ABAJO-CALLEJON LOS MEDINAS
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-1",BOQUERON,"15-10-1-151001001-1-4",C/P BOQUERON-VIA LOMA DE GUERRA
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-1",BOQUERON,"15-10-1-151001001-1-3",CALLE BAUTISTA-EL MILAGRO-LOS SALAZARES
MP.ANTOLIN DEL CAMPO,"15-10-1-151001001-1",BOQUERON,"15-10-1-151001001-1-2","CALLE 24 DE JULIO-LA CUESTE, PIEDRA DE JABON-EL TANQUE"
MP. TUBORES,"15-9-2-150902007-3",LOS VASQUEZ,"15-9-2-150902007-3-2",CALLE (Nª 01)
MP. TUBORES,"15-9-2-150902007-2",LAS NIÑAS,"15-9-2-150902007-2-8",CALLES 5 Y JESUS AVILA
MP. TUBORES,"15-9-2-150902007-2",LAS NIÑAS,"15-9-2-150902007-2-7",CALLE LA AMISTAD
MP. TUBORES,"15-9-2-150902007-2",LAS NIÑAS,"15-9-2-150902007-2-5",CALLE (PRINCIPAL
MP. TUBORES,"15-9-2-150902007-2",LAS NIÑAS,"15-9-2-150902007-2-4",CALLE (LOS FERNANDEZ)
MP. TUBORES,"15-9-2-150902007-2",LAS NIÑAS,"15-9-2-150902007-2-2",CALLE (CARACAS)
MP. TUBORES,"15-9-2-150902007-2",LAS NIÑAS,"15-9-2-150902007-2-1",CALLE (CABALLERIZA)
MP. TUBORES,"15-9-2-150902007-1",EL HATICO,"15-9-2-150902007-1-2",EL HATICO ABAJO
MP. TUBORES,"15-9-2-150902006-1",FRANCISCO MATA DIAZ,"15-9-2-150902006-1-9","AV JUAN BAUTISTA- PRINCIPAL, CALLES LOS MANGOS, LAS ACACIAS, EL YAQUE, LOS PINO, LA REVOLUCION Y AMISTAD Y MARGARITA"
MP. TUBORES,"15-9-2-150902006-1",FRANCISCO MATA DIAZ,"15-9-2-150902006-1-7",LOS OLIVOS-LAS PALMAS
MP. TUBORES,"15-9-2-150902006-1",FRANCISCO MATA DIAZ,"15-9-2-150902006-1-3",BOLIVAR-LO NUESTRO
MP. TUBORES,"15-9-2-150902006-1",FRANCISCO MATA DIAZ,"15-9-2-150902006-1-2",CHAVEZ- MARTINEZ-EL CLUD-ESFUERZO-BOLIVARIANO
MP. TUBORES,"15-9-2-150902006-1",FRANCISCO MATA DIAZ,"15-9-2-150902006-1-12",CALLE SANTA BARBARA-VIRGEN DEL VALLE-SAN ONOFRE-LIMA-CULTURA
MP. TUBORES,"15-9-2-150902006-1",FRANCISCO MATA DIAZ,"15-9-2-150902006-1-11","7 DE FEBRERO- ANDRES BELLO-SANTA ELENA, TRINITARIA-LAS ROSAS-ROMA"
MP. TUBORES,"15-9-2-150902005-2",LAS CUICAS,"15-9-2-150902005-2-2",CALLE PRINCIPAL Y CASA BLANCA
MP. TUBORES,"15-9-2-150902005-1",LAS MARVALES,"15-9-2-150902005-1-9",PRINCIPAL-ENTRADA
MP. TUBORES,"15-9-2-150902005-1",LAS MARVALES,"15-9-2-150902005-1-8",EFIGENIO GIL-MARCANO
MP. TUBORES,"15-9-2-150902005-1",LAS MARVALES,"15-9-2-150902005-1-6",PRINCIPAL CON NUEVA ESPERANZA
MP. TUBORES,"15-9-2-150902005-1",LAS MARVALES,"15-9-2-150902005-1-4",PERRO SECO
MP. TUBORES,"15-9-2-150902005-1",LAS MARVALES,"15-9-2-150902005-1-2",PRINCIPAL SECTOR LA CRUZ
MP. TUBORES,"15-9-2-150902005-1",LAS MARVALES,"15-9-2-150902005-1-10",CANUTO - GUASABANAL
MP. TUBORES,"15-9-2-150902005-1",LAS MARVALES,"15-9-2-150902005-1-1",CALLES POLA GOMEZ Y PETRA LOPEZ
MP. TUBORES,"15-9-2-150902004-1",PUNTA DE MANGLE,"15-9-2-150902004-1-9",CALLE EL COLEGIO
MP. TUBORES,"15-9-2-150902004-1",PUNTA DE MANGLE,"15-9-2-150902004-1-7",CALLE LEON Y LAS LOMAS
MP. TUBORES,"15-9-2-150902004-1",PUNTA DE MANGLE,"15-9-2-150902004-1-6",CALLE PRINCIPAL-LOS PORTILLOS Y EMILIANO VILLAROEL
MP. TUBORES,"15-9-2-150902004-1",PUNTA DE MANGLE,"15-9-2-150902004-1-13",CALLE MARTIN RODRIGUEZ
MP. TUBORES,"15-9-2-150902004-1",PUNTA DE MANGLE,"15-9-2-150902004-1-10",CALLE LA PISTA
MP. TUBORES,"15-9-2-150902003-1",ORINOCO,"15-9-2-150902003-1-5",PRINCIPAL - SECTOR B
MP. TUBORES,"15-9-2-150902003-1",ORINOCO,"15-9-2-150902003-1-3",PRINCIPAL C Y D
MP. TUBORES,"15-9-2-150902003-1",ORINOCO,"15-9-2-150902003-1-1",DOÑA MANUELA
MP. TUBORES,"15-9-2-150902002-4",BAHIA EL GUAMACHE,"15-9-2-150902002-4-9","CALLES 4,5,6 PABLO MARVAL II"
MP. TUBORES,"15-9-2-150902002-4",BAHIA EL GUAMACHE,"15-9-2-150902002-4-6",SECTOR LA BAHIA
MP. TUBORES,"15-9-2-150902002-4",BAHIA EL GUAMACHE,"15-9-2-150902002-4-4","CALLES 1,2,3 PABLO MARVAL II"
MP. TUBORES,"15-9-2-150902002-4",BAHIA EL GUAMACHE,"15-9-2-150902002-4-3",CALLE 5 Y 6 PABLO MARVAL I
MP. TUBORES,"15-9-2-150902002-4",BAHIA EL GUAMACHE,"15-9-2-150902002-4-2",CALLE 3 Y 4 PABLO MARVAL I
MP. TUBORES,"15-9-2-150902002-4",BAHIA EL GUAMACHE,"15-9-2-150902002-4-11",CALLE 1 Y 2 PABLO MARVAL I
MP. TUBORES,"15-9-2-150902002-4",BAHIA EL GUAMACHE,"15-9-2-150902002-4-10",SECTOR LA BAHIA I
MP. TUBORES,"15-9-2-150902002-3",PUEBLO NUEVO (EL GUAMACHE),"15-9-2-150902002-3-8",CALLE LAS FLORES C
MP. TUBORES,"15-9-2-150902002-3",PUEBLO NUEVO (EL GUAMACHE),"15-9-2-150902002-3-12",CALLE CEDEÑO A
MP. TUBORES,"15-9-2-150902002-3",PUEBLO NUEVO (EL GUAMACHE),"15-9-2-150902002-3-11",CALLE PRIMAVERA A
MP. TUBORES,"15-9-2-150902002-3",PUEBLO NUEVO (EL GUAMACHE),"15-9-2-150902002-3-10",CALLE LAS FLORES A
MP. TUBORES,"15-9-2-150902002-3",PUEBLO NUEVO (EL GUAMACHE),"15-9-2-150902002-3-1",CALLE PRIMAVERA B
MP. TUBORES,"15-9-2-150902002-2",EL GUAMACHE,"15-9-2-150902002-2-8",CALLE LA MARINA
MP. TUBORES,"15-9-2-150902002-2",EL GUAMACHE,"15-9-2-150902002-2-5",ROSARIO B2 Y LA COTORRA
MP. TUBORES,"15-9-2-150902002-2",EL GUAMACHE,"15-9-2-150902002-2-2",BARRIO HERMENEGILDO HERNANDEZ
MP. TUBORES,"15-9-2-150902002-2",EL GUAMACHE,"15-9-2-150902002-2-15",CALLE ROSARIO A1 Y A2
MP. TUBORES,"15-9-2-150902002-2",EL GUAMACHE,"15-9-2-150902002-2-13",CALLE PRINCIPAL B2
MP. TUBORES,"15-9-2-150902002-2",EL GUAMACHE,"15-9-2-150902002-2-12",CALLE PRINCIPAL B1
MP. TUBORES,"15-9-2-150902002-2",EL GUAMACHE,"15-9-2-150902002-2-11",CALLE PRINCIPAL A3
MP. TUBORES,"15-9-2-150902002-2",EL GUAMACHE,"15-9-2-150902002-2-10",CALLE PRINCIPAL A2
MP. TUBORES,"15-9-2-150902002-1",PUNTA GUAMACHE,"15-9-2-150902002-1-7",CALLE PRINCIPAL LA MARINA II
MP. TUBORES,"15-9-2-150902002-1",PUNTA GUAMACHE,"15-9-2-150902002-1-5",LOS MOROS
MP. TUBORES,"15-9-2-150902002-1",PUNTA GUAMACHE,"15-9-2-150902002-1-4",CALLE LA PLAYA
MP. TUBORES,"15-9-2-150902002-1",PUNTA GUAMACHE,"15-9-2-150902002-1-1",CALLE PRINCIPAL LA MARINA
MP. TUBORES,"15-9-2-150902001-3",LAS CASITAS,"15-9-2-150902001-3-6",CALLE LAS FLORES
MP. TUBORES,"15-9-2-150902001-3",LAS CASITAS,"15-9-2-150902001-3-5",LA MARINA Y LA PLAYA
MP. TUBORES,"15-9-2-150902001-3",LAS CASITAS,"15-9-2-150902001-3-3",CALLE REAL
MP. TUBORES,"15-9-2-150902001-3",LAS CASITAS,"15-9-2-150902001-3-2",CALLES PRINCIPAL Y INTERNACIONAL
MP. TUBORES,"15-9-2-150902001-2",BELLO MONTE,"15-9-2-150902001-2-9",VIA PRINCIPAL
MP. TUBORES,"15-9-2-150902001-2",BELLO MONTE,"15-9-2-150902001-2-8",SAMUEL AVENDAÑO
MP. TUBORES,"15-9-2-150902001-2",BELLO MONTE,"15-9-2-150902001-2-7",LA SALINA
MP. TUBORES,"15-9-2-150902001-2",BELLO MONTE,"15-9-2-150902001-2-4",SAN ONOFRE
MP. TUBORES,"15-9-2-150902001-2",BELLO MONTE,"15-9-2-150902001-2-3",BELLO MONTE
MP. TUBORES,"15-9-2-150902001-2",BELLO MONTE,"15-9-2-150902001-2-1",LA GALLERA
MP. TUBORES,"15-9-2-150902001-1",LAS CASITAS DE ANTAÑO,"15-9-2-150902001-1-5",CALLE LAS FLORES
MP. TUBORES,"15-9-2-150902001-1",LAS CASITAS DE ANTAÑO,"15-9-2-150902001-1-4",BRISAS DEL MAR- LA MARINA- LA PLAYA
